Latitude and Longitude,Class of Land,vh,vv
"(10.470715496359476, 104.91196228578761)",Non Rice,"[[0.04559315741062164, 0.02916961908340454], [0.058811254799366, 0.05152706801891327]]","[[0.34690728783607483, 0.17944715917110443], [0.30466076731681824, 0.14550107717514038]]"
"(10.470261267529818, 104.91196228578761)",Non Rice,"[[0.07834678143262863, 0.05870480462908745], [0.07875707745552063, 0.06192593649029732]]","[[0.1075986996293068, 0.09849757701158524], [0.17181243002414703, 0.10211171209812164]]"
"(10.469807038700157, 104.91196228578761)",Non Rice,"[[0.05917534977197647, 0.06793432682752609], [0.06692149490118027, 0.0761013925075531]]","[[0.2589130401611328, 0.3103340268135071], [0.26644113659858704, 0.305809885263443]]"
"(10.469352809870497, 104.91196228578761)",Non Rice,"[[0.049528006464242935, 0.05125357210636139], [0.03783998265862465, 0.03379090875387192]]","[[0.338185578584671, 0.4394076466560364], [0.2114754170179367, 0.24937854707241058]]"
"(10.468898581040836, 104.91196228578761)",Non Rice,"[[0.05051432177424431, 0.04986007884144783], [0.10636428743600845, 0.09862302988767624]]","[[0.2859022617340088, 0.28063884377479553], [0.35135361552238464, 0.3183618485927582]]"
"(10.468444352211177, 104.91196228578761)",Non Rice,"[[0.030257878825068474, 0.029898136854171753], [0.02482261136174202, 0.03866984322667122]]","[[0.15764282643795013, 0.12081285566091537], [0.2746357023715973, 0.21390895545482635]]"
"(10.467990123381517, 104.91196228578761)",Non Rice,"[[0.10254818201065063, 0.06809170544147491], [0.07494932413101196, 0.062794029712677]]","[[0.23273932933807373, 0.2354210764169693], [0.14711445569992065, 0.16326415538787842]]"
"(10.467535894551856, 104.91196228578761)",Non Rice,"[[0.03164782375097275, 0.03498578071594238], [0.0369013249874115, 0.05467909947037697]]","[[0.296485036611557, 0.4097690284252167], [0.3598434031009674, 0.3887479305267334]]"
"(10.467081665722198, 104.91196228578761)",Non Rice,"[[0.054721612483263016, 0.027508249506354332], [0.07373414188623428, 0.035041991621255875]]","[[0.1201237365603447, 0.08521801233291626], [0.11416302621364594, 0.08781495690345764]]"
"(10.466627436892537, 104.91196228578761)",Non Rice,"[[0.10413136333227158, 0.07729165256023407], [0.06044552102684975, 0.04968330264091492]]","[[0.4489295184612274, 0.20944476127624512], [0.30218660831451416, 0.24447177350521088]]"
"(10.466173208062877, 104.91196228578761)",Non Rice,"[[0.10317248106002808, 0.10648968070745468], [0.06701081991195679, 0.0746552050113678]]","[[0.16627652943134308, 0.09539314359426498], [0.21024689078330994, 0.12254829704761505]]"
"(10.465718979233216, 104.91196228578761)",Non Rice,"[[0.029061922803521156, 0.022369593381881714], [0.04481099545955658, 0.032583195716142654]]","[[0.04746594652533531, 0.047036364674568176], [0.10151364654302597, 0.06783980876207352]]"
"(10.465264750403557, 104.91196228578761)",Non Rice,"[[0.06165295094251633, 0.08365235477685928], [0.05853051319718361, 0.09462463855743408]]","[[0.28232651948928833, 0.2303445041179657], [0.2027219980955124, 0.22883346676826477]]"
"(10.464810521573897, 104.91196228578761)",Non Rice,"[[0.05797325074672699, 0.05405694246292114], [0.06576523929834366, 0.05928957462310791]]","[[0.2017562836408615, 0.3009984493255615], [0.3556710183620453, 0.388359934091568]]"
"(10.464356292744236, 104.91196228578761)",Non Rice,"[[0.11388682574033737, 0.0940113365650177], [0.1097181886434555, 0.09442770481109619], [0.10682519525289536, 0.09409048408269882]]","[[0.6182525157928467, 0.5730392932891846], [0.35418564081192017, 0.4070413112640381], [0.26510533690452576, 0.32987067103385925]]"
"(10.463902063914578, 104.91196228578761)",Non Rice,"[[0.08450905978679657, 0.07476062327623367], [0.06485894322395325, 0.06426818668842316], [0.04366572946310043, 0.03953288495540619]]","[[0.21283294260501862, 0.16739559173583984], [0.17096567153930664, 0.16948102414608002], [0.23584122955799103, 0.22408618032932281]]"
"(10.463447835084917, 104.91196228578761)",Non Rice,"[[0.031338170170784, 0.05882453918457031], [0.03300250694155693, 0.055664826184511185], [0.02885831706225872, 0.03841637820005417]]","[[0.10272859036922455, 0.09564781188964844], [0.10231106728315353, 0.1735312044620514], [0.14146794378757477, 0.18616126477718353]]"
"(10.462993606255257, 104.91196228578761)",Non Rice,"[[0.0488821342587471, 0.05577431619167328], [0.045857932418584824, 0.04769597947597504], [0.05893270671367645, 0.06774924695491791]]","[[0.14224086701869965, 0.10242945700883865], [0.13416709005832672, 0.12198976427316666], [0.15486516058444977, 0.13834096491336823]]"
"(10.462539377425596, 104.91196228578761)",Non Rice,"[[0.042614199221134186, 0.03255395218729973], [0.048334214836359024, 0.038996774703264236]]","[[0.23931823670864105, 0.18004123866558075], [0.19872549176216125, 0.18942135572433472]]"
"(10.462085148595937, 104.91196228578761)",Non Rice,"[[0.04244571179151535, 0.051454003900289536], [0.05875979736447334, 0.0688406378030777]]","[[0.13290797173976898, 0.15245972573757172], [0.1731831580400467, 0.2202833741903305]]"
"(10.461630919766277, 104.91196228578761)",Non Rice,"[[0.02896578423678875, 0.031944576650857925], [0.04542173817753792, 0.04337901994585991]]","[[0.15195158123970032, 0.0852569043636322], [0.09817482531070709, 0.09445023536682129]]"
"(10.461176690936616, 104.91196228578761)",Non Rice,"[[0.03603949025273323, 0.02306246943771839], [0.03997037932276726, 0.03910686448216438]]","[[0.16182562708854675, 0.16400445997714996], [0.19797775149345398, 0.18119965493679047]]"
"(10.460722462106958, 104.91196228578761)",Non Rice,"[[0.05299879238009453, 0.04754355549812317, 0.03524121269583702], [0.06038501858711243, 0.0471714586019516, 0.034625716507434845]]","[[0.20286311209201813, 0.27498960494995117, 0.24813543260097504], [0.3038881719112396, 0.1984522044658661, 0.14076510071754456]]"
"(10.460268233277297, 104.91196228578761)",Non Rice,"[[0.03796010836958885, 0.03282232955098152, 0.025139614939689636], [0.03435897454619408, 0.023612475022673607, 0.0236844290047884]]","[[0.10478349775075912, 0.11846429109573364, 0.13756002485752106], [0.12259277701377869, 0.15891306102275848, 0.24243855476379395]]"
"(10.459814004447637, 104.91196228578761)",Non Rice,"[[0.0464840829372406, 0.06522408872842789, 0.10129165649414062], [0.07332726567983627, 0.10665751248598099, 0.09900255501270294]]","[[0.2507704198360443, 0.2981847822666168, 0.36542972922325134], [0.2349797934293747, 0.2981208562850952, 0.3189029097557068]]"
"(10.459359775617976, 104.91196228578761)",Non Rice,"[[0.05142485350370407, 0.05978323891758919, 0.06035865098237991], [0.07226084917783737, 0.07385847717523575, 0.0706145390868187]]","[[0.1677597016096115, 0.1956470012664795, 0.2578966021537781], [0.2003965526819229, 0.20093633234500885, 0.20442329347133636]]"
"(10.458905546788317, 104.91196228578761)",Non Rice,"[[0.030239205807447433, 0.04147817939519882, 0.05809128284454346], [0.021378137171268463, 0.022488461807370186, 0.04128875583410263]]","[[0.13339529931545258, 0.1910904198884964, 0.23995843529701233], [0.10970087349414825, 0.15168429911136627, 0.15829166769981384]]"
"(10.482071217100977, 104.91241651461723)",Non Rice,"[[0.10051369667053223, 0.12490219622850418], [0.10969395190477371, 0.10541766881942749]]","[[0.22436568140983582, 0.23352670669555664], [0.26799359917640686, 0.24467697739601135]]"
"(10.481616988271316, 104.91241651461723)",Non Rice,"[[0.15486586093902588, 0.11688832938671112], [0.1890040636062622, 0.16741374135017395]]","[[0.2313346415758133, 0.20866674184799194], [0.29927951097488403, 0.25468534231185913]]"
"(10.481162759441657, 104.91241651461723)",Non Rice,"[[0.05740192160010338, 0.08285786211490631], [0.07885371893644333, 0.06834879517555237]]","[[0.29901668429374695, 0.48407310247421265], [0.28543636202812195, 0.3835311830043793]]"
"(10.480708530611997, 104.91241651461723)",Non Rice,"[[0.062621109187603, 0.038540273904800415], [0.08432253450155258, 0.08380047976970673]]","[[0.2522866725921631, 0.25320330262184143], [0.2667306661605835, 0.2395845651626587]]"
"(10.480254301782336, 104.91241651461723)",Non Rice,"[[0.042631104588508606, 0.07119005173444748], [0.03644871711730957, 0.05194276198744774]]","[[0.10336831957101822, 0.1323823630809784], [0.12254542857408524, 0.1362617462873459]]"
"(10.479800072952678, 104.91241651461723)",Non Rice,"[[0.06698424369096756, 0.09851853549480438], [0.060174454003572464, 0.07248730212450027]]","[[0.19630907475948334, 0.32095855474472046], [0.15065085887908936, 0.3083450198173523]]"
"(10.479345844123017, 104.91241651461723)",Non Rice,"[[0.13894551992416382, 0.15051507949829102], [0.14563803374767303, 0.19254343211650848]]","[[0.9095345735549927, 0.8248240351676941], [0.6642254590988159, 0.5810136795043945]]"
"(10.478891615293357, 104.91241651461723)",Non Rice,"[[0.059520430862903595, 0.13300633430480957], [0.13630500435829163, 0.16627757251262665]]","[[0.2477039247751236, 0.39959752559661865], [0.15531758964061737, 0.17848242819309235]]"
"(10.478437386463696, 104.91241651461723)",Non Rice,"[[0.09274037182331085, 0.04318149387836456], [0.11706571280956268, 0.07817842066287994]]","[[0.3466719388961792, 0.22921614348888397], [0.30695581436157227, 0.23501262068748474]]"
"(10.477983157634037, 104.91241651461723)",Non Rice,"[[0.10340164601802826, 0.06957180798053741], [0.13029661774635315, 0.10182751715183258]]","[[0.23514601588249207, 0.15857405960559845], [0.27278056740760803, 0.18140454590320587]]"
"(10.477528928804377, 104.91241651461723)",Non Rice,"[[0.04750053212046623, 0.05454908683896065], [0.05962160602211952, 0.060123518109321594]]","[[0.6290847659111023, 0.7290744781494141], [0.6811625957489014, 0.834755003452301]]"
"(10.477074699974716, 104.91241651461723)",Non Rice,"[[0.09237317740917206, 0.13236896693706512], [0.059625428169965744, 0.09139613807201385]]","[[0.21573053300380707, 0.18151095509529114], [0.2788972556591034, 0.2666747272014618]]"
"(10.476620471145058, 104.91241651461723)",Non Rice,"[[0.07898388057947159, 0.07961785793304443], [0.09826391190290451, 0.08642666786909103]]","[[0.14343523979187012, 0.13086053729057312], [0.1489723175764084, 0.08956379443407059]]"
"(10.476166242315397, 104.91241651461723)",Non Rice,"[[0.06761212646961212, 0.04360894113779068], [0.11183401942253113, 0.07063271105289459]]","[[0.16319286823272705, 0.14573100209236145], [0.2219977229833603, 0.16753369569778442]]"
"(10.475712013485737, 104.91241651461723)",Non Rice,"[[0.033613383769989014, 0.05198775976896286], [0.039763759821653366, 0.07813010364770889]]","[[0.2637728154659271, 0.21659770607948303], [0.24851743876934052, 0.3177605867385864]]"
"(10.475257784656076, 104.91241651461723)",Non Rice,"[[0.06704435497522354, 0.110147625207901], [0.06502314656972885, 0.08302180469036102]]","[[0.23771758377552032, 0.45626676082611084], [0.23835308849811554, 0.3068044185638428]]"
"(10.474803555826417, 104.91241651461723)",Non Rice,"[[0.09328468143939972, 0.0798424631357193], [0.08903409540653229, 0.07672931998968124]]","[[0.3464623689651489, 0.33808448910713196], [0.2605433166027069, 0.23026947677135468]]"
"(10.474349326996757, 104.91241651461723)",Non Rice,"[[0.08471953868865967, 0.07419025152921677], [0.08543941378593445, 0.09353093802928925]]","[[0.27926328778266907, 0.24930204451084137], [0.19586777687072754, 0.23852944374084473]]"
"(10.473895098167096, 104.91241651461723)",Non Rice,"[[0.07675015926361084, 0.08223513513803482], [0.08180898427963257, 0.09848344326019287]]","[[0.32304584980010986, 0.3497861921787262], [0.2935829162597656, 0.24279755353927612]]"
"(10.473440869337438, 104.91241651461723)",Non Rice,"[[0.13670778274536133, 0.15196974575519562], [0.11435053497552872, 0.13884496688842773]]","[[0.6929535269737244, 0.6685440540313721], [0.3249090611934662, 0.4105782210826874]]"
"(10.472986640507777, 104.91241651461723)",Non Rice,"[[0.02250269055366516, 0.03993898630142212], [0.014608202502131462, 0.02219957485795021]]","[[0.06250455975532532, 0.08032169938087463], [0.1193382665514946, 0.18275605142116547]]"
"(10.472532411678117, 104.91241651461723)",Non Rice,"[[0.013397506438195705, 0.014299776405096054], [0.015060978941619396, 0.021598616614937782]]","[[0.11105766147375107, 0.13509823381900787], [0.1170848160982132, 0.12013530731201172]]"
"(10.472078182848456, 104.91241651461723)",Non Rice,"[[0.06755487620830536, 0.06405538320541382], [0.09220470488071442, 0.08645743876695633]]","[[0.12318433821201324, 0.17085759341716766], [0.178988978266716, 0.2495737075805664]]"
"(10.471623954018797, 104.91241651461723)",Non Rice,"[[0.0434301421046257, 0.05341384559869766], [0.0387309193611145, 0.039266206324100494]]","[[0.29453349113464355, 0.3504653573036194], [0.42616939544677734, 0.40186965465545654]]"
"(10.471169725189137, 104.91241651461723)",Non Rice,"[[0.037562984973192215, 0.04867936670780182], [0.042176492512226105, 0.05218098312616348]]","[[0.09402132034301758, 0.15644928812980652], [0.12815611064434052, 0.1454506665468216]]"
"(10.470715496359476, 104.91241651461723)",Non Rice,"[[0.05058214068412781, 0.0637941062450409], [0.06410329043865204, 0.06250549107789993]]","[[0.3039071559906006, 0.23636199533939362], [0.17105767130851746, 0.19022208452224731]]"
"(10.325089733570481, 105.4923758843016)",Non Rice,"[[0.0062538390047848225, 0.0031786630861461163], [0.008275840431451797, 0.0068353088572621346]]","[[0.05028117820620537, 0.029667386785149574], [0.019138308241963387, 0.016204455867409706]]"
"(10.325089733570481, 105.49283011313122)",Non Rice,"[[0.0015820787521079183, 0.0014845870900899172], [0.005101416260004044, 0.005610006861388683]]","[[0.024442022666335106, 0.02599366195499897], [0.04127054661512375, 0.04663745313882828]]"
"(10.324635504740822, 105.49283011313122)",Non Rice,"[[0.006929913070052862, 0.00794545654207468], [0.008010388351976871, 0.007244214881211519]]","[[0.029852531850337982, 0.03482633829116821], [0.03773905709385872, 0.030934743583202362]]"
"(10.325089733570481, 105.49328434196087)",Non Rice,"[[0.006147867999970913, 0.006107972469180822], [0.00477274414151907, 0.004722530487924814]]","[[0.029162364080548286, 0.023080019280314445], [0.022113829851150513, 0.01568032242357731]]"
"(10.324635504740822, 105.49328434196087)",Non Rice,"[[0.005908041726797819, 0.006477778777480125], [0.003232428804039955, 0.004407186061143875]]","[[0.01474873535335064, 0.01407664269208908], [0.008113101124763489, 0.01570994034409523]]"
"(10.324181275911162, 105.49328434196087)",Non Rice,"[[0.004128385800868273, 0.005121741909533739], [0.004543542396277189, 0.0043964567594230175]]","[[0.02728629857301712, 0.017677687108516693], [0.025336744263768196, 0.014150798320770264]]"
"(10.325089733570481, 105.49373857079053)",Non Rice,"[[0.003472637850791216, 0.0038270121440291405], [0.0035549774765968323, 0.0047447942197322845]]","[[0.010836771689355373, 0.012243044562637806], [0.023060565814375877, 0.026018109172582626]]"
"(10.324635504740822, 105.49373857079053)",Non Rice,"[[0.006316247396171093, 0.007284671533852816], [0.0064546652138233185, 0.004798950161784887]]","[[0.01902376487851143, 0.016901517286896706], [0.014124502427875996, 0.010255769826471806]]"
"(10.324181275911162, 105.49373857079053)",Non Rice,"[[0.005175603553652763, 0.004827658645808697], [0.00469136843457818, 0.004773518070578575]]","[[0.02528485842049122, 0.03074905462563038], [0.020091058686375618, 0.02410975657403469]]"
"(10.323727047081501, 105.49373857079053)",Non Rice,"[[0.0028813767712563276, 0.0036846997682005167], [0.004006830044090748, 0.0038575034122914076]]","[[0.024677414447069168, 0.02481119893491268], [0.018094399943947792, 0.021267548203468323]]"
"(10.325089733570481, 105.49419279962015)",Non Rice,"[[0.0076422542333602905, 0.005964523181319237], [0.005072594620287418, 0.003572218120098114]]","[[0.020278044044971466, 0.013847011141479015], [0.01835951767861843, 0.01163840014487505]]"
"(10.324635504740822, 105.49419279962015)",Non Rice,"[[0.0047394284047186375, 0.0032474789768457413], [0.007747987285256386, 0.00854321289807558]]","[[0.018291175365447998, 0.017954930663108826], [0.01727629452943802, 0.020335771143436432]]"
"(10.324181275911162, 105.49419279962015)",Non Rice,"[[0.004824518691748381, 0.00443689338862896], [0.00833703763782978, 0.00522779393941164]]","[[0.016816262155771255, 0.014405354857444763], [0.013113221153616905, 0.012159250676631927]]"
"(10.323727047081501, 105.49419279962015)",Non Rice,"[[0.003957442007958889, 0.004416802432388067], [0.0071386173367500305, 0.008218163624405861]]","[[0.00998297706246376, 0.008529163897037506], [0.017171110957860947, 0.010564514435827732]]"
"(10.32327281825184, 105.49419279962015)",Non Rice,"[[0.004241768270730972, 0.004875078797340393], [0.004031009040772915, 0.003434667130932212]]","[[0.02719307877123356, 0.01776975579559803], [0.010559364221990108, 0.020750265568494797]]"
"(10.325089733570481, 105.4946470284498)",Non Rice,"[[0.005244474392384291, 0.0052484325133264065], [0.0026819338090717793, 0.005298939533531666]]","[[0.010851086117327213, 0.014095348306000233], [0.015230437740683556, 0.025196149945259094]]"
"(10.324635504740822, 105.4946470284498)",Non Rice,"[[0.004518167115747929, 0.007655585650354624], [0.003744405461475253, 0.004410258028656244]]","[[0.015143857337534428, 0.012608430348336697], [0.0174371637403965, 0.014654007740318775]]"
"(10.324181275911162, 105.4946470284498)",Non Rice,"[[0.005374952219426632, 0.0036571526434272528], [0.005319245159626007, 0.003481145715340972]]","[[0.020535865798592567, 0.021209819242358208], [0.00866897962987423, 0.010907388292253017]]"
"(10.323727047081501, 105.4946470284498)",Non Rice,"[[0.005741187836974859, 0.004710278939455748], [0.0054359338246285915, 0.00492787454277277]]","[[0.011089029721915722, 0.00781007157638669], [0.015867356210947037, 0.00949347298592329]]"
"(10.32327281825184, 105.4946470284498)",Non Rice,"[[0.0028939456678926945, 0.003705457551404834], [0.002950853668153286, 0.003918693400919437]]","[[0.03530469536781311, 0.024439582601189613], [0.01128892507404089, 0.009836994111537933]]"
"(10.32281858942218, 105.4946470284498)",Non Rice,"[[0.005192596931010485, 0.0061668511480093], [0.007691309787333012, 0.00712247658520937]]","[[0.03490268811583519, 0.029288263991475105], [0.0462380051612854, 0.014833390712738037]]"
"(10.325089733570481, 105.49510125727943)",Non Rice,"[[0.009192226454615593, 0.006133528891950846], [0.006097723729908466, 0.0039902194403111935]]","[[0.02300054393708706, 0.024330774322152138], [0.016849758103489876, 0.01621817983686924]]"
"(10.324635504740822, 105.49510125727943)",Non Rice,"[[0.006827503442764282, 0.0048506795428693295], [0.006791642867028713, 0.005063936114311218]]","[[0.0280027873814106, 0.025856327265501022], [0.022329624742269516, 0.014486626721918583]]"
"(10.324181275911162, 105.49510125727943)",Non Rice,"[[0.006438998505473137, 0.0032823809888213873], [0.005635436158627272, 0.0033419893588870764]]","[[0.029940683394670486, 0.02818506769835949], [0.020277440547943115, 0.019407425075769424]]"
"(10.323727047081501, 105.49510125727943)",Non Rice,"[[0.0025268858298659325, 0.002276333514600992], [0.002340498147532344, 0.003088555531576276]]","[[0.02067086473107338, 0.016418538987636566], [0.02250642329454422, 0.02536519430577755]]"
"(10.32327281825184, 105.49510125727943)",Non Rice,"[[0.003047970123589039, 0.0025431762915104628], [0.004941461142152548, 0.00243240874260664]]","[[0.00822190660983324, 0.01261189579963684], [0.008563135750591755, 0.01294525433331728]]"
"(10.32281858942218, 105.49510125727943)",Non Rice,"[[0.002799815032631159, 0.004340909421443939], [0.002513450337573886, 0.00560713978484273]]","[[0.018707966431975365, 0.01789586991071701], [0.02558412216603756, 0.02177954837679863]]"
"(10.322364360592521, 105.49510125727943)",Non Rice,"[[0.006177152507007122, 0.003738269442692399], [0.004572030156850815, 0.003974175080657005]]","[[0.031015241518616676, 0.03129137307405472], [0.024434475228190422, 0.03917587921023369]]"
"(10.321910131762861, 105.49510125727943)",Non Rice,"[[0.004263152834028006, 0.0034576659090816975], [0.005299634765833616, 0.004798530135303736]]","[[0.02234276384115219, 0.026622135192155838], [0.032882146537303925, 0.04537971690297127]]"
"(10.325089733570481, 105.49555548610908)",Non Rice,"[[0.0063884747214615345, 0.004841401241719723], [0.0025997210759669542, 0.003482885891571641]]","[[0.017756717279553413, 0.04068835452198982], [0.029035521671175957, 0.036657679826021194]]"
"(10.324635504740822, 105.49555548610908)",Non Rice,"[[0.005798812955617905, 0.008455099537968636], [0.007934613153338432, 0.012931090779602528]]","[[0.0157725028693676, 0.027941036969423294], [0.013916932046413422, 0.019651129841804504]]"
"(10.324181275911162, 105.49555548610908)",Non Rice,"[[0.007696996442973614, 0.007729430682957172], [0.005892987363040447, 0.008196886628866196]]","[[0.00928965862840414, 0.008150887675583363], [0.009448003955185413, 0.00810744147747755]]"
"(10.323727047081501, 105.49555548610908)",Non Rice,"[[0.010011260397732258, 0.006067036185413599], [0.009181221015751362, 0.007484582718461752]]","[[0.014934028498828411, 0.0126691535115242], [0.011471889913082123, 0.010083203203976154]]"
"(10.32327281825184, 105.49555548610908)",Non Rice,"[[0.0034794167149811983, 0.005071609281003475], [0.002272011712193489, 0.002534138271585107]]","[[0.025100935250520706, 0.023642467334866524], [0.02781696431338787, 0.03247111290693283]]"
"(10.32281858942218, 105.49555548610908)",Non Rice,"[[0.005556505639106035, 0.0058381883427500725], [0.006578374654054642, 0.004631907679140568]]","[[0.013650682754814625, 0.018718289211392403], [0.021770291030406952, 0.031089724972844124]]"
"(10.322364360592521, 105.49555548610908)",Non Rice,"[[0.0024485683534294367, 0.001582507393322885], [0.0034261506516486406, 0.0059309168718755245]]","[[0.03067980334162712, 0.015543048270046711], [0.025356976315379143, 0.012844686396420002]]"
"(10.321910131762861, 105.49555548610908)",Non Rice,"[[0.0061514172703027725, 0.0028782819863408804], [0.005060677416622639, 0.00285954843275249]]","[[0.016728516668081284, 0.02021731808781624], [0.010732757858932018, 0.013101287186145782]]"
"(10.321455902933202, 105.49555548610908)",Non Rice,"[[0.005510511342436075, 0.006022161804139614], [0.004477177280932665, 0.0044624777510762215]]","[[0.09284066408872604, 0.05248237028717995], [0.0767596885561943, 0.04239201173186302]]"
"(10.325089733570481, 105.49600971493871)",Non Rice,"[[0.004244030918926001, 0.004462567623704672], [0.0040983278304338455, 0.0064241597428917885]]","[[0.025490688160061836, 0.010546332225203514], [0.03530701622366905, 0.01736724004149437]]"
"(10.324635504740822, 105.49600971493871)",Non Rice,"[[0.009958861395716667, 0.007604959886521101], [0.007855904288589954, 0.005542795639485121]]","[[0.03024878539144993, 0.011996089480817318], [0.04248546063899994, 0.0224058348685503]]"
"(10.324181275911162, 105.49600971493871)",Non Rice,"[[0.003914490342140198, 0.006342877168208361], [0.0044505298137664795, 0.006531215738505125]]","[[0.07475616037845612, 0.03701852634549141], [0.03154226765036583, 0.030905868858098984]]"
"(10.323727047081501, 105.49600971493871)",Non Rice,"[[0.004759765695780516, 0.004084612242877483], [0.005403934046626091, 0.005852158181369305]]","[[0.03863724321126938, 0.04928075522184372], [0.03332870826125145, 0.03280241787433624]]"
"(10.32327281825184, 105.49600971493871)",Non Rice,"[[0.006441440433263779, 0.005496842321008444], [0.003589506493881345, 0.004010328091681004]]","[[0.014312950894236565, 0.027196848765015602], [0.02604179084300995, 0.03336852043867111]]"
"(10.32281858942218, 105.49600971493871)",Non Rice,"[[0.0036748049315065145, 0.002559959189966321], [0.004709976725280285, 0.004751821048557758]]","[[0.01729438081383705, 0.018187910318374634], [0.019786806777119637, 0.023388728499412537]]"
"(10.322364360592521, 105.49600971493871)",Non Rice,"[[0.006664701271802187, 0.004011415410786867], [0.004676577169448137, 0.003887091763317585]]","[[0.023662691935896873, 0.008774127811193466], [0.025305481627583504, 0.013984314166009426]]"
"(10.321910131762861, 105.49600971493871)",Non Rice,"[[0.008599448017776012, 0.008312792517244816], [0.009492622688412666, 0.011788545176386833]]","[[0.023893868550658226, 0.02149839699268341], [0.031871601939201355, 0.026665983721613884]]"
"(10.321455902933202, 105.49600971493871)",Non Rice,"[[0.008532673120498657, 0.00462367944419384], [0.009544286876916885, 0.005083791445940733]]","[[0.026896923780441284, 0.031969666481018066], [0.022457577288150787, 0.02905619516968727]]"
"(10.321001674103542, 105.49600971493871)",Non Rice,"[[0.0059396750293672085, 0.0033479363191872835], [0.006313536316156387, 0.004644939210265875]]","[[0.04296899959445, 0.027575606480240822], [0.04493522271513939, 0.040920816361904144]]"
"(10.325089733570481, 105.49646394376836)",Non Rice,"[[0.005177527200430632, 0.0027984564658254385], [0.0033123439643532038, 0.0040472084656357765]]","[[0.019091937690973282, 0.014364797621965408], [0.020918888971209526, 0.017842676490545273]]"
"(10.324635504740822, 105.49646394376836)",Non Rice,"[[0.0037293462082743645, 0.004967496730387211], [0.0026970815379172564, 0.0035517646465450525]]","[[0.018688354641199112, 0.0152059905230999], [0.022643424570560455, 0.017488202080130577]]"
"(10.474349326996757, 105.53107618058692)",Non Rice,"[[0.05923866480588913, 0.045666296035051346], [0.050868723541498184, 0.034407757222652435]]","[[0.2218334972858429, 0.14145031571388245], [0.1333533376455307, 0.12406985461711884]]"
"(10.473895098167096, 105.53107618058692)",Non Rice,"[[0.07214844226837158, 0.11372384428977966], [0.10713301599025726, 0.13854296505451202]]","[[0.3386795222759247, 0.7506507635116577], [0.33310452103614807, 0.6082112789154053]]"
"(10.474349326996757, 105.53153040941655)",Non Rice,"[[0.0681794211268425, 0.07309239357709885], [0.047085486352443695, 0.050759680569171906]]","[[0.16544052958488464, 0.1609116643667221], [0.28469353914260864, 0.2395632266998291]]"
"(10.473895098167096, 105.53153040941655)",Non Rice,"[[0.04221867024898529, 0.037196651101112366], [0.026710832491517067, 0.029653657227754593]]","[[0.1708114892244339, 0.20890460908412933], [0.14965133368968964, 0.18349339067935944]]"
"(10.473440869337438, 105.53153040941655)",Non Rice,"[[0.06593161076307297, 0.06429126858711243], [0.07019937038421631, 0.08039811253547668]]","[[0.2787688374519348, 0.36862218379974365], [0.2773585617542267, 0.3179873526096344]]"
"(10.474803555826417, 105.5319846382462)",Non Rice,"[[0.04974880442023277, 0.05429920181632042], [0.03159786015748978, 0.04238003492355347]]","[[0.20776395499706268, 0.213946133852005], [0.3100522458553314, 0.2731873393058777]]"
"(10.474349326996757, 105.5319846382462)",Non Rice,"[[0.0753638744354248, 0.08024486899375916], [0.036209844052791595, 0.0402778796851635]]","[[0.2503981590270996, 0.47077012062072754], [0.28123971819877625, 0.2503412961959839]]"
"(10.473895098167096, 105.5319846382462)",Non Rice,"[[0.03828966245055199, 0.033143043518066406], [0.05254140496253967, 0.06413096189498901]]","[[0.24267497658729553, 0.263971209526062], [0.24359022080898285, 0.26783132553100586]]"
"(10.473440869337438, 105.5319846382462)",Non Rice,"[[0.0662965402007103, 0.08737099915742874], [0.08072596043348312, 0.06351052224636078]]","[[0.4805417060852051, 0.30265378952026367], [0.5798662304878235, 0.325234979391098]]"
"(10.472986640507777, 105.5319846382462)",Non Rice,"[[0.05236143618822098, 0.07160036265850067], [0.04450327157974243, 0.07820586860179901]]","[[0.4783271551132202, 0.3122974634170532], [0.47808143496513367, 0.2741226851940155]]"
"(10.472532411678117, 105.5319846382462)",Non Rice,"[[0.05946187302470207, 0.08131691813468933], [0.04103705659508705, 0.07552415132522583]]","[[0.22678141295909882, 0.3129698932170868], [0.17263546586036682, 0.29336535930633545]]"
"(10.474803555826417, 105.53243886707584)",Non Rice,"[[0.07716541737318039, 0.06350519508123398], [0.07190012186765671, 0.06253727525472641]]","[[0.3287813365459442, 0.27078092098236084], [0.32061707973480225, 0.28374430537223816]]"
"(10.474349326996757, 105.53243886707584)",Non Rice,"[[0.062170810997486115, 0.06454778462648392], [0.054172225296497345, 0.07869251072406769]]","[[0.3400227129459381, 0.3222939670085907], [0.2326807826757431, 0.21487034857273102]]"
"(10.473895098167096, 105.53243886707584)",Non Rice,"[[0.07337455451488495, 0.07356208562850952], [0.10880499333143234, 0.07966752350330353]]","[[0.18924890458583832, 0.24935290217399597], [0.31877535581588745, 0.22553223371505737]]"
"(10.473440869337438, 105.53243886707584)",Non Rice,"[[0.07530304044485092, 0.05870329588651657], [0.04687085747718811, 0.039690010249614716]]","[[0.2027571201324463, 0.18339607119560242], [0.11041974276304245, 0.0832572653889656]]"
"(10.472986640507777, 105.53243886707584)",Non Rice,"[[0.052395351231098175, 0.03774765133857727], [0.047918446362018585, 0.041347283869981766]]","[[0.24705149233341217, 0.1605040729045868], [0.19742722809314728, 0.1356016993522644]]"
